
testingAirswap.csv; Start Time:1527188296.142; End Time:1527188297.869; Run Time (in minutes):0.02878333330154419
testingAirswap.csv; Start Time:1527188317.532; End Time:1527188319.214; Run Time (in minutes):0.028033332029978434
 Filename:testingAirswap.csv; Start Time:1527188402.812; End Time:1527188404.671; Run Time (in minutes):0.030983332792917886
 Filename:testingAirswap.csv; Start Time:1527189032.108; End Time:1527189033.904; Run Time (in minutes):0.02993333339691162
 Filename:life2date_Airswap.csv; Start Time:1527189086.87; End Time:1527189280.235; Run Time (in minutes):3.2227500001589457
 Filename:life2date_radar.csv; Start Time:1527190575.022; End Time:1527191856.354; Run Time (in minutes):21.355533333619437
 Filename:life2date_paradex.csv; Start Time:1527192930.759; End Time:1527193812.943; Run Time (in minutes):14.70306666692098
 Filename:life2date_ddex.csv; Start Time:1527600644.629; End Time:1527604727.971; Run Time (in minutes):68.05570000012716
 Filename:lastweek_ddex.csv; Start Time:1527620327.489; End Time:1527620852.302; Run Time (in minutes):8.74688333272934
 Filename:pastweek_airswap.csv; Start Time:1527621732.165; End Time:1527621760.149; Run Time (in minutes):0.46639999945958455
 Filename:pastweek_radar.csv; Start Time:1527621929.669; End Time:1527621966.508; Run Time (in minutes):0.6139833331108093
 Filename:pastweek_paradex.csv; Start Time:1527622011.338; End Time:1527622018.742; Run Time (in minutes):0.1234000007311503
 Filename:pastweek_ddex.csv; Start Time:1528749805.73; End Time:1528750076.339; Run Time (in minutes):4.510149999459585
 Filename:past24_radar.csv; Start Time:1528754797.147; End Time:1528754802.648; Run Time (in minutes):0.09168333212534586
 Filename:past24_airswap.csv; Start Time:1528755773.322; End Time:1528755776.755; Run Time (in minutes):0.05721666812896729
